Lexeme,Token,Count
class,Keyword,1
test_25,Identifier,1
{,Seperator,2
public,Keyword,1
static,Keyword,1
void,Keyword,1
main,Identifier,1
(,Seperator,3
String,Identifier,1
args,Identifier,1
[,Seperator,1
],Seperator,1
),Seperator,3
int,Keyword,2
x,Identifier,2
=,Operator,2
20,Literal,1
;,Seperator,3
y,Identifier,2
18,Literal,1
if,Keyword,1
>,Operator,1
System,Identifier,1
.,Seperator,2
out,Identifier,1
println,Identifier,1
"x is greater than y",String,1
},Seperator,2
