Lexeme,Token,Count
public,Keyword,2
class,Keyword,1
BubbleSort,Identifier,1
{,Seperator,6
static,Keyword,1
void,Keyword,1
main,Identifier,1
(,Seperator,8
final,Keyword,2
String,Identifier,1
[,Seperator,10
],Seperator,10
args,Identifier,1
),Seperator,8
int,Keyword,3
n,Identifier,4
=,Operator,8
10,Literal,1
",",Seperator,12
c,Identifier,9
d,Identifier,10
swap,Identifier,3
;,Seperator,13
array,Identifier,8
new,Keyword,1
23,Literal,1
1,Literal,6
78,Literal,1
45,Literal,1
46,Literal,1
90,Literal,1
2,Literal,1
12,Literal,1
75,Literal,1
0,float literal,4
},Seperator,6
for,Keyword,3
<,Operator,3
-,Operator,3
++,Operator,3
if,Keyword,1
>,Operator,1
+,Operator,3
System,Identifier,2
.,Seperator,4
out,Identifier,2
println,Identifier,2
"Sorted list of numbers:",String,1
